,APPL,,,,,,AMZN,,,,,,APT,,,,,,FB,,,,,,GOOG,,,,,,LAKE,,,,,,NFLX,,,,,,NNVC,,,,,,TSLA,,,,,,YOJ.SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/11,308.100006,317.049988,307.23999,315.01001,315.01001,36405900,2374.699951,2419.669922,2372.110107,2409,2409,3253700,13.05,13.27,12.6,12.88,12.88,1546900,210.889999,215,210.369995,213.179993,213.179993,12893100,1378.280029,1416.530029,1377.151978,1403.26001,1403.26001,1410600,13.11,13.5,12.44,13.41,13.41,674800,436.329987,444.890015,435.559998,440.519989,440.519989,5480300,6.24,7.35,6.24,7.11,7.11,747400,790.51001,824,785,811.289978,811.289978,16519600,3.72,3.72,3.72,3.72,3.72,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/12,317.829987,319.690002,310.910004,311.410004,311.410004,40575300,2411.850098,2419,2355,2356.949951,2356.949951,3074900,12.81,14.1,12.69,13.84,13.84,3857200,213.289993,215.279999,210,210.100006,210.100006,14704600,1407.119995,1415,1374.77002,1375.73999,1375.73999,1390600,13.4,14.02,13.34,13.76,13.76,671600,442,444.170013,431.359985,431.820007,431.820007,4598200,9.65,10.6,8.41,9.12,9.12,12429100,827,843.289978,808,809.409973,809.409973,15906900,3.78,3.78,3.78,3.78,3.78,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/13,312.149994,315.950012,303.209991,307.649994,307.649994,50155600,2366.800049,2407.699951,2337.800049,2367.919922,2367.919922,4782900,14.06,14.78,12.91,13.1,13.1,3637000,209.429993,210.779999,202.110001,205.100006,205.100006,20684600,1377.050049,1385.482056,1328.400024,1349.329956,1349.329956,1812600,13.75,13.96,12.67,12.87,12.87,494200,435.690002,447,427.269989,438.269989,438.269989,7014600,8.75,10.58,8.11,10.54,10.54,2424800,820.830017,826,763.299988,790.960022,790.960022,19065500,3.74,3.74,3.74,3.74,3.74,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/14,304.51001,309.790009,301.529999,309.540009,309.540009,39732300,2361.01001,2391.370117,2353.209961,2388.850098,2388.850098,3648100,13.3,17,13.2,16.35,16.35,15819000,202.559998,206.929993,200.690002,206.809998,206.809998,17178900,1335.02002,1357.420044,1323.910034,1356.130005,1356.130005,1603100,12.96,14.29,12.52,13.8,13.8,1342000,444.899994,452.380005,432.820007,441.950012,441.950012,9007500,11.05,12.2,10.54,11.56,11.56,3040800,780,803.359985,764,803.330017,803.330017,13682200,3.72,3.72,3.72,3.72,3.72,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/15,300.350006,307.899994,300.209991,307.709991,307.709991,41587100,2368.52002,2411,2356.370117,2409.780029,2409.780029,4235000,15.55,16.16,14.5,14.97,14.97,5468900,205.270004,211.339996,204.119995,210.880005,210.880005,19383200,1350,1374.47998,1339,1373.189941,1373.189941,1707700,13.85,14.1,13.51,13.8,13.8,366500,440.700012,455,437.51001,454.190002,454.190002,7244000,10.64,11.28,9.51,9.63,9.63,1371100,790.349976,805.049988,786.549988,799.169983,799.169983,10518400,3.66,3.66,3.66,3.66,3.66,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/18,313.170013,316.5,310.320007,314.959991,314.959991,33843100,2404.350098,2433,2384.01001,2426.26001,2426.26001,4366600,15.02,15.07,12.7,14.18,14.18,5017800,212.149994,214.639999,210.940002,213.190002,213.190002,20167400,1361.75,1392.324951,1354.25,1383.939941,1383.939941,1824000,13.62,13.87,12.93,13.61,13.61,727200,451.160004,456.359985,443.350006,452.579987,452.579987,7780300,9.53,10.6,8.55,10.14,10.14,1471100,827.780029,834.719971,803.880005,813.630005,813.630005,11698100,3.7,3.7,3.7,3.7,3.7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/19,315.029999,318.519989,313.01001,313.140015,313.140015,25432400,2429.830078,2485,2428.969971,2449.330078,2449.330078,4320500,13.61,14.31,13.44,13.83,13.83,1395400,213.270004,220.490005,212.830002,216.880005,216.880005,31843200,1386.996948,1392,1373.484985,1373.484985,1373.484985,1280600,13.58,14.07,13.43,13.7,13.7,304800,453.399994,458.970001,450.470001,451.040009,451.040009,4810500,9.73,10.06,9.4,9.65,9.65,719100,815.169983,822.070007,806.080017,808.01001,808.01001,9636500,3.72,3.72,3.72,3.72,3.72,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/20,316.679993,319.519989,316.519989,319.230011,319.230011,27876200,2477.870117,2500.01001,2467.27002,2497.939941,2497.939941,3998100,13.55,14.14,13.5,13.86,13.86,997200,223.5,231.339996,223.190002,229.970001,229.970001,50162900,1389.579956,1410.420044,1387.25,1406.719971,1406.719971,1655400,13.53,13.98,13.52,13.72,13.72,219500,454.25,455.809998,444,447.670013,447.670013,5607300,8.69,9.58,8.66,9.09,9.09,1283200,820.5,826,811.799988,815.559998,815.559998,7309300,3.74,3.74,3.74,3.74,3.74,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/21,318.660004,320.890015,315.869995,316.850006,316.850006,25672200,2500,2525.449951,2442.540039,2446.73999,2446.73999,5114400,13.6,13.85,13.05,13.57,13.57,1246400,234.720001,237.199997,231.199997,231.389999,231.389999,47782600,1408,1415.48999,1393.449951,1402.800049,1402.800049,1385000,13.64,13.86,13.4,13.85,13.85,230900,448.559998,448.959991,430.25,436.25,436.25,9117300,8,8.3,7.53,7.66,7.66,1788700,816,832.5,796,827.599976,827.599976,12254600,3.68,3.68,3.68,3.68,3.68,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/22,315.769989,319.230011,315.350006,318.890015,318.890015,20450800,2455.01001,2469.850098,2430.129883,2436.879883,2436.879883,2867100,13.4,13.7,12.85,13.22,13.22,1539300,231.509995,235.990005,228.740005,234.910004,234.910004,33925600,1396.709961,1412.76001,1391.829956,1410.420044,1410.420044,1309400,13.71,13.72,13.16,13.5,13.5,222100,437,439.089996,427.179993,429.320007,429.320007,5422300,7.6,7.69,7.3,7.57,7.57,697300,822.169983,831.780029,812,816.880005,816.880005,9987500,3.76,3.76,3.76,3.76,3.76,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/26,323.5,324.23999,316.5,316.730011,316.730011,31380500,2458,2462,2414.060059,2421.860107,2421.860107,3568200,13.19,13.2,12.2,12.27,12.27,2288900,239.770004,240.899994,231.669998,232.199997,232.199997,33178300,1437.27002,1441,1412.130005,1417.02002,1417.02002,2060600,13.27,13.71,13.13,13.5,13.5,339600,427.769989,428.5,413.140015,414.769989,414.769989,7881100,7.5,7.67,7.25,7.51,7.51,670200,834.5,834.599976,815.710022,818.869995,818.869995,8089700,3.88,3.88,3.88,3.88,3.88,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/27,316.140015,318.709991,313.089996,318.109985,318.109985,28236300,2404.98999,2413.580078,2330,2410.389893,2410.389893,5056900,12.38,12.88,11.8,12.74,12.74,2194500,229.070007,230.559998,221.130005,229.139999,229.139999,34697600,1417.25,1421.73999,1391.290039,1417.839966,1417.839966,1685800,13.34,14.47,12.89,14.46,14.46,731100,410.380005,420.019989,397.859985,419.890015,419.890015,10446300,7.39,7.5,6.75,7.45,7.45,694000,820.859985,827.710022,785,820.22998,820.22998,11549500,3.8,3.8,3.8,3.8,3.8,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/28,316.769989,323.440002,315.630005,318.25,318.25,33390200,2384.330078,2436.969971,2378.22998,2401.100098,2401.100098,3190200,12.7,12.98,12.33,12.51,12.51,1373200,224.300003,231.630005,224,225.460007,225.460007,29377200,1396.859985,1440.839966,1396,1416.72998,1416.72998,1692200,14.55,15.13,14.13,14.27,14.27,627300,417.23999,422.369995,411.5,413.440002,413.440002,5655100,7.32,7.76,7.25,7.33,7.33,427500,813.51001,824.75,801.690002,805.809998,805.809998,7255600,3.72,3.72,3.72,3.72,3.72,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/29,319.25,321.149994,316.470001,317.940002,317.940002,38399500,2415.939941,2442.370117,2398.199951,2442.370117,2442.370117,3529300,12.26,12.66,12.22,12.45,12.45,745400,225.199997,227.490005,222.880005,225.089996,225.089996,23322500,1416.939941,1432.569946,1413.349976,1428.920044,1428.920044,1838100,14.09,14.57,13.7,14.5,14.5,287100,417.459991,420.299988,411.850006,419.730011,419.730011,5270500,6.99,7.69,6.99,7.52,7.52,369800,808.75,835,804.210022,835,835,11812500,3.64,3.72,3.64,3.72,3.72,340
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/5/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020/6/1,317.75,322.350006,317.209991,321.850006,321.850006,20197800,2448,2476.929932,2444.169922,2471.040039,2471.040039,2928900,12.35,12.64,12.07,12.62,12.62,686300,224.589996,232.440002,223.5,231.910004,231.910004,18223800,1418.390015,1437.959961,1418,1431.819946,1431.819946,1217100,14.43,14.72,14.28,14.62,14.62,224500,418.829987,426.720001,415.980011,425.920013,425.920013,3743700,7.29,7.78,7.28,7.7,7.7,439000,858,899,854.099976,898.099976,898.099976,14939500,3.78,3.78,3.78,3.78,3.78,0
